[32/336] Q-BSL-034 | gpt-5.4-mini | rep 1/3 ERROR: codex exec таймаут (120s), модель gpt-5.4-mini
[259/336] Q-BSP-104 | gpt-5.4-mini | rep 2/3 OK (237s)
[260/336] Q-BSP-104 | gpt-5.4-mini | rep 3/3 OK (196s)
[261/336] Q-BSP-105 | gpt-5.5 | rep 1/3 OK (95s)
[262/336] Q-BSP-105 | gpt-5.5 | rep 2/3 OK (99s)
Q-BSP-105 | gpt-5.5 | rep 3/3 SKIP (первые два ответа семантически совпали)
[266/336] Q-BSP-106 | gpt-5.5 | rep 1/3 OK (46s)
[267/336] Q-BSP-106 | gpt-5.5 | rep 2/3 OK (65s)
Q-BSP-106 | gpt-5.5 | rep 3/3 SKIP (первые два ответа семантически совпали)
[268/336] Q-BSP-106 | gpt-5.4-mini | rep 1/3 OK (200s)
[269/336] Q-BSP-106 | gpt-5.4-mini | rep 2/3 OK (89s)
[270/336] Q-BSP-106 | gpt-5.4-mini | rep 3/3 OK (75s)

Готово. Выполнено: 270 | успешно: 240 | ошибок: 30 | сэкономлено повторов (адаптивно): 66
[4/30] Q-BSL-077 | gpt-5.4-mini | rep 3/3 ERROR: codex exec таймаут (300s), модель gpt-5.4-mini
[18/30] Q-BSP-055 | gpt-5.4-mini | rep 1/3 ERROR: codex exec таймаут (300s), модель gpt-5.4-mini
Файлов вопросов: 2 | вопросов: 56 | моделей: 2 | повторов: до 3 (адаптивно)
Всего ячеек: 336 | к выполнению: до 30 | пропуск (resume): 306
Модели: gpt-5.5, gpt-5.4-mini
Результаты: results/t1-gpt/answers.jsonl
[1/30] Q-BSL-034 | gpt-5.4-mini | rep 1/3 OK (137s)
[2/30] Q-BSL-077 | gpt-5.4-mini | rep 1/3 OK (156s)
[3/30] Q-BSL-077 | gpt-5.4-mini | rep 2/3 OK (171s)
[5/30] Q-BSL-086 | gpt-5.5 | rep 1/3 OK (68s)
[6/30] Q-BSL-086 | gpt-5.4-mini | rep 1/3 OK (152s)
[7/30] Q-BSP-003 | gpt-5.4-mini | rep 1/3 OK (145s)
[8/30] Q-BSP-003 | gpt-5.4-mini | rep 2/3 OK (158s)
[9/30] Q-BSP-004 | gpt-5.4-mini | rep 1/3 OK (498s)
Q-BSP-004 | gpt-5.4-mini | rep 3/3 SKIP (первые два ответа семантически совпали)
[10/30] Q-BSP-005 | gpt-5.4-mini | rep 1/3 OK (167s)
[11/30] Q-BSP-033 | gpt-5.4-mini | rep 2/3 OK (173s)
[12/30] Q-BSP-033 | gpt-5.4-mini | rep 3/3 OK (186s)
[13/30] Q-BSP-035 | gpt-5.4-mini | rep 1/3 OK (190s)
[14/30] Q-BSP-046 | gpt-5.4-mini | rep 1/3 OK (545s)
Q-BSP-049 | gpt-5.4-mini | rep 3/3 SKIP (первые два ответа семантически совпали)
[15/30] Q-BSP-050 | gpt-5.4-mini | rep 1/3 OK (108s)
Q-BSP-050 | gpt-5.4-mini | rep 3/3 SKIP (первые два ответа семантически совпали)
[16/30] Q-BSP-055 | gpt-5.5 | rep 1/3 OK (91s)
[17/30] Q-BSP-055 | gpt-5.5 | rep 2/3 OK (68s)
[19/30] Q-BSP-055 | gpt-5.4-mini | rep 2/3 OK (265s)
[20/30] Q-BSP-059 | gpt-5.4-mini | rep 2/3 OK (196s)
[21/30] Q-BSP-064 | gpt-5.4-mini | rep 2/3 OK (209s)
[22/30] Q-BSP-093 | gpt-5.4-mini | rep 2/3 OK (171s)
[23/30] Q-BSP-094 | gpt-5.4-mini | rep 3/3 OK (105s)
[24/30] Q-BSP-104 | gpt-5.4-mini | rep 1/3 OK (100s)
[25/30] Q-BSP-105 | gpt-5.4-mini | rep 1/3 OK (200s)
[26/30] Q-BSP-105 | gpt-5.4-mini | rep 2/3 OK (162s)
Q-BSP-105 | gpt-5.4-mini | rep 3/3 SKIP (первые два ответа семантически совпали)

Готово. Выполнено: 26 | успешно: 24 | ошибок: 2 | сэкономлено повторов (адаптивно): 4
