[57/504] Q-BSL-034 | opus | rep 2/3 ERROR: claude CLI таймаут (120s), модель opus
[294/504] Q-BSP-056 | sonnet | rep 1/3 OK (48s)
[295/504] Q-BSP-056 | sonnet | rep 2/3 OK (48s)
Q-BSP-056 | sonnet | rep 3/3 SKIP (первые два ответа семантически совпали)
[296/504] Q-BSP-056 | opus | rep 1/3 OK (37s)
[297/504] Q-BSP-056 | opus | rep 2/3 OK (40s)
Q-BSP-056 | opus | rep 3/3 SKIP (первые два ответа семантически совпали)
[298/504] Q-BSP-057 | haiku | rep 1/3 OK (26s)
[299/504] Q-BSP-057 | haiku | rep 2/3 OK (14s)
[300/504] Q-BSP-057 | haiku | rep 3/3 OK (9s)
[301/504] Q-BSP-057 | sonnet | rep 1/3 OK (21s)
[302/504] Q-BSP-057 | sonnet | rep 2/3 OK (49s)
[303/504] Q-BSP-057 | sonnet | rep 3/3 OK (53s)
[304/504] Q-BSP-057 | opus | rep 1/3 OK (38s)
[305/504] Q-BSP-057 | opus | rep 2/3 OK (49s)
Q-BSP-057 | opus | rep 3/3 SKIP (первые два ответа семантически совпали)
[306/504] Q-BSP-058 | haiku | rep 1/3 OK (31s)
[307/504] Q-BSP-058 | haiku | rep 2/3 OK (10s)
Q-BSP-058 | haiku | rep 3/3 SKIP (первые два ответа семантически совпали)
[308/504] Q-BSP-058 | sonnet | rep 1/3 OK (116s)
[309/504] Q-BSP-058 | sonnet | rep 2/3 OK (64s)
[310/504] Q-BSP-058 | sonnet | rep 3/3 OK (46s)
[311/504] Q-BSP-058 | opus | rep 1/3 OK (38s)
[312/504] Q-BSP-058 | opus | rep 2/3 OK (44s)
[313/504] Q-BSP-058 | opus | rep 3/3 OK (18s)
[314/504] Q-BSP-059 | haiku | rep 1/3 OK (74s)
[315/504] Q-BSP-059 | haiku | rep 2/3 OK (31s)
[316/504] Q-BSP-059 | haiku | rep 3/3 OK (36s)
[317/504] Q-BSP-059 | sonnet | rep 1/3 OK (52s)
[318/504] Q-BSP-059 | sonnet | rep 2/3 OK (168s)
[320/504] Q-BSP-059 | opus | rep 1/3 OK (61s)
[321/504] Q-BSP-059 | opus | rep 2/3 OK (47s)
[322/504] Q-BSP-059 | opus | rep 3/3 OK (73s)
[323/504] Q-BSP-064 | haiku | rep 1/3 OK (29s)
[324/504] Q-BSP-064 | haiku | rep 2/3 OK (28s)
Q-BSP-064 | haiku | rep 3/3 SKIP (первые два ответа семантически совпали)
[325/504] Q-BSP-064 | sonnet | rep 1/3 OK (47s)
[326/504] Q-BSP-064 | sonnet | rep 2/3 OK (45s)
[327/504] Q-BSP-064 | sonnet | rep 3/3 OK (20s)
[328/504] Q-BSP-064 | opus | rep 1/3 OK (52s)
[329/504] Q-BSP-064 | opus | rep 2/3 OK (42s)
[330/504] Q-BSP-064 | opus | rep 3/3 OK (41s)
[331/504] Q-BSP-065 | haiku | rep 1/3 OK (25s)
[332/504] Q-BSP-065 | haiku | rep 2/3 OK (38s)
Q-BSP-065 | haiku | rep 3/3 SKIP (первые два ответа семантически совпали)
[333/504] Q-BSP-065 | sonnet | rep 1/3 OK (30s)
[334/504] Q-BSP-065 | sonnet | rep 2/3 OK (32s)
Q-BSP-065 | sonnet | rep 3/3 SKIP (первые два ответа семантически совпали)
[335/504] Q-BSP-065 | opus | rep 1/3 OK (32s)
[336/504] Q-BSP-065 | opus | rep 2/3 OK (34s)
[337/504] Q-BSP-065 | opus | rep 3/3 OK (37s)
[338/504] Q-BSP-066 | haiku | rep 1/3 OK (93s)
[339/504] Q-BSP-066 | haiku | rep 2/3 OK (27s)
[340/504] Q-BSP-066 | haiku | rep 3/3 OK (74s)
[341/504] Q-BSP-066 | sonnet | rep 1/3 OK (78s)
[342/504] Q-BSP-066 | sonnet | rep 2/3 OK (59s)
[343/504] Q-BSP-066 | sonnet | rep 3/3 OK (53s)
[344/504] Q-BSP-066 | opus | rep 1/3 OK (44s)
[345/504] Q-BSP-066 | opus | rep 2/3 OK (38s)
Q-BSP-066 | opus | rep 3/3 SKIP (первые два ответа семантически совпали)
[346/504] Q-BSP-067 | haiku | rep 1/3 OK (41s)
[347/504] Q-BSP-067 | haiku | rep 2/3 OK (29s)
Q-BSP-067 | haiku | rep 3/3 SKIP (первые два ответа семантически совпали)
[348/504] Q-BSP-067 | sonnet | rep 1/3 OK (28s)
[349/504] Q-BSP-067 | sonnet | rep 2/3 OK (87s)
Q-BSP-067 | sonnet | rep 3/3 SKIP (первые два ответа семантически совпали)
[350/504] Q-BSP-067 | opus | rep 1/3 OK (45s)
[351/504] Q-BSP-067 | opus | rep 2/3 OK (37s)
Q-BSP-067 | opus | rep 3/3 SKIP (первые два ответа семантически совпали)
[352/504] Q-BSP-068 | haiku | rep 1/3 OK (29s)
[353/504] Q-BSP-068 | haiku | rep 2/3 OK (22s)
[354/504] Q-BSP-068 | haiku | rep 3/3 OK (23s)
[355/504] Q-BSP-068 | sonnet | rep 1/3 OK (58s)
[356/504] Q-BSP-068 | sonnet | rep 2/3 OK (67s)
[357/504] Q-BSP-068 | sonnet | rep 3/3 OK (48s)
[358/504] Q-BSP-068 | opus | rep 1/3 OK (40s)
[359/504] Q-BSP-068 | opus | rep 2/3 OK (45s)
Q-BSP-068 | opus | rep 3/3 SKIP (первые два ответа семантически совпали)
[360/504] Q-BSP-093 | haiku | rep 1/3 OK (32s)
[361/504] Q-BSP-093 | haiku | rep 2/3 OK (25s)
Q-BSP-093 | haiku | rep 3/3 SKIP (первые два ответа семантически совпали)
[362/504] Q-BSP-093 | sonnet | rep 1/3 OK (51s)
[363/504] Q-BSP-093 | sonnet | rep 2/3 OK (59s)
Q-BSP-093 | sonnet | rep 3/3 SKIP (первые два ответа семантически совпали)
[364/504] Q-BSP-093 | opus | rep 1/3 OK (66s)
[365/504] Q-BSP-093 | opus | rep 2/3 OK (54s)
[366/504] Q-BSP-093 | opus | rep 3/3 OK (46s)
[367/504] Q-BSP-094 | haiku | rep 1/3 OK (19s)
[368/504] Q-BSP-094 | haiku | rep 2/3 OK (28s)
[369/504] Q-BSP-094 | haiku | rep 3/3 OK (31s)
[370/504] Q-BSP-094 | sonnet | rep 1/3 OK (55s)
[371/504] Q-BSP-094 | sonnet | rep 2/3 OK (42s)
Q-BSP-094 | sonnet | rep 3/3 SKIP (первые два ответа семантически совпали)
[372/504] Q-BSP-094 | opus | rep 1/3 OK (65s)
[373/504] Q-BSP-094 | opus | rep 2/3 OK (67s)
[374/504] Q-BSP-094 | opus | rep 3/3 OK (63s)
[375/504] Q-BSP-095 | haiku | rep 1/3 OK (36s)
[376/504] Q-BSP-095 | haiku | rep 2/3 OK (39s)
Q-BSP-095 | haiku | rep 3/3 SKIP (первые два ответа семантически совпали)
[377/504] Q-BSP-095 | sonnet | rep 1/3 OK (32s)
[378/504] Q-BSP-095 | sonnet | rep 2/3 OK (62s)
[379/504] Q-BSP-095 | sonnet | rep 3/3 OK (38s)
[380/504] Q-BSP-095 | opus | rep 1/3 OK (44s)
[381/504] Q-BSP-095 | opus | rep 2/3 OK (37s)
[382/504] Q-BSP-095 | opus | rep 3/3 OK (38s)
[383/504] Q-BSP-096 | haiku | rep 1/3 OK (146s)
[384/504] Q-BSP-096 | haiku | rep 2/3 OK (116s)
Q-BSP-096 | haiku | rep 3/3 SKIP (первые два ответа семантически совпали)
[385/504] Q-BSP-096 | sonnet | rep 1/3 OK (40s)
[386/504] Q-BSP-096 | sonnet | rep 2/3 OK (66s)
[387/504] Q-BSP-096 | sonnet | rep 3/3 OK (50s)
[388/504] Q-BSP-096 | opus | rep 1/3 OK (40s)
[389/504] Q-BSP-096 | opus | rep 2/3 OK (39s)
Q-BSP-096 | opus | rep 3/3 SKIP (первые два ответа семантически совпали)
[390/504] Q-BSP-097 | haiku | rep 1/3 OK (43s)
[391/504] Q-BSP-097 | haiku | rep 2/3 OK (28s)
[392/504] Q-BSP-097 | haiku | rep 3/3 OK (36s)
[393/504] Q-BSP-097 | sonnet | rep 1/3 OK (58s)
[394/504] Q-BSP-097 | sonnet | rep 2/3 OK (38s)
Q-BSP-097 | sonnet | rep 3/3 SKIP (первые два ответа семантически совпали)
[395/504] Q-BSP-097 | opus | rep 1/3 OK (56s)
[396/504] Q-BSP-097 | opus | rep 2/3 OK (39s)
Q-BSP-097 | opus | rep 3/3 SKIP (первые два ответа семантически совпали)
[397/504] Q-BSP-102 | haiku | rep 1/3 OK (26s)
[398/504] Q-BSP-102 | haiku | rep 2/3 OK (23s)
Q-BSP-102 | haiku | rep 3/3 SKIP (первые два ответа семантически совпали)
[399/504] Q-BSP-102 | sonnet | rep 1/3 OK (57s)
[400/504] Q-BSP-102 | sonnet | rep 2/3 OK (41s)
Q-BSP-102 | sonnet | rep 3/3 SKIP (первые два ответа семантически совпали)
[401/504] Q-BSP-102 | opus | rep 1/3 OK (58s)
[402/504] Q-BSP-102 | opus | rep 2/3 OK (37s)
[403/504] Q-BSP-102 | opus | rep 3/3 OK (42s)
[404/504] Q-BSP-103 | haiku | rep 1/3 OK (27s)
[405/504] Q-BSP-103 | haiku | rep 2/3 OK (22s)
[406/504] Q-BSP-103 | haiku | rep 3/3 OK (31s)
[407/504] Q-BSP-103 | sonnet | rep 1/3 OK (61s)
[408/504] Q-BSP-103 | sonnet | rep 2/3 OK (59s)
[409/504] Q-BSP-103 | sonnet | rep 3/3 OK (47s)
[410/504] Q-BSP-103 | opus | rep 1/3 OK (49s)
[411/504] Q-BSP-103 | opus | rep 2/3 OK (58s)
[412/504] Q-BSP-103 | opus | rep 3/3 OK (41s)
[413/504] Q-BSP-104 | haiku | rep 1/3 OK (26s)
[414/504] Q-BSP-104 | haiku | rep 2/3 OK (31s)
Q-BSP-104 | haiku | rep 3/3 SKIP (первые два ответа семантически совпали)
[415/504] Q-BSP-104 | sonnet | rep 1/3 OK (64s)
[416/504] Q-BSP-104 | sonnet | rep 2/3 OK (50s)
[417/504] Q-BSP-104 | sonnet | rep 3/3 OK (66s)
[418/504] Q-BSP-104 | opus | rep 1/3 OK (47s)
[419/504] Q-BSP-104 | opus | rep 2/3 OK (62s)
Q-BSP-104 | opus | rep 3/3 SKIP (первые два ответа семантически совпали)
[420/504] Q-BSP-105 | haiku | rep 1/3 OK (21s)
[421/504] Q-BSP-105 | haiku | rep 2/3 OK (24s)
Q-BSP-105 | haiku | rep 3/3 SKIP (первые два ответа семантически совпали)
[422/504] Q-BSP-105 | sonnet | rep 1/3 OK (53s)
[423/504] Q-BSP-105 | sonnet | rep 2/3 OK (61s)
[424/504] Q-BSP-105 | sonnet | rep 3/3 OK (76s)
[425/504] Q-BSP-105 | opus | rep 1/3 OK (39s)
[426/504] Q-BSP-105 | opus | rep 2/3 OK (33s)
Q-BSP-105 | opus | rep 3/3 SKIP (первые два ответа семантически совпали)
[427/504] Q-BSP-106 | haiku | rep 1/3 OK (33s)
[428/504] Q-BSP-106 | haiku | rep 2/3 OK (39s)
[429/504] Q-BSP-106 | haiku | rep 3/3 OK (36s)
[430/504] Q-BSP-106 | sonnet | rep 1/3 OK (59s)
[431/504] Q-BSP-106 | sonnet | rep 2/3 OK (61s)
[432/504] Q-BSP-106 | sonnet | rep 3/3 OK (43s)
[433/504] Q-BSP-106 | opus | rep 1/3 OK (47s)
[434/504] Q-BSP-106 | opus | rep 2/3 OK (70s)
Q-BSP-106 | opus | rep 3/3 SKIP (первые два ответа семантически совпали)

Готово. Выполнено: 434 | успешно: 351 | ошибок: 83 | сэкономлено повторов (адаптивно): 70
Файлов вопросов: 2 | вопросов: 56 | моделей: 3 | повторов: до 3 (адаптивно)
Всего ячеек: 504 | к выполнению: до 83 | пропуск (resume): 421
Модели: haiku, sonnet, opus
Результаты: results/t1-claude/answers.jsonl
[1/83] Q-BSL-034 | opus | rep 2/3 OK (99s)
[2/83] Q-BSL-039 | haiku | rep 2/3 OK (29s)
Q-BSL-039 | haiku | rep 3/3 SKIP (первые два ответа семантически совпали)
[3/83] Q-BSL-039 | sonnet | rep 1/3 OK (23s)
[4/83] Q-BSL-039 | sonnet | rep 2/3 OK (34s)
[5/83] Q-BSL-039 | sonnet | rep 3/3 OK (33s)
[6/83] Q-BSL-039 | opus | rep 1/3 OK (42s)
[7/83] Q-BSL-039 | opus | rep 2/3 OK (34s)
Q-BSL-039 | opus | rep 3/3 SKIP (первые два ответа семантически совпали)
[8/83] Q-BSL-044 | haiku | rep 1/3 OK (12s)
[9/83] Q-BSL-044 | haiku | rep 2/3 OK (12s)
Q-BSL-044 | haiku | rep 3/3 SKIP (первые два ответа семантически совпали)
[10/83] Q-BSL-044 | sonnet | rep 1/3 OK (17s)
[11/83] Q-BSL-044 | sonnet | rep 2/3 OK (20s)
Q-BSL-044 | sonnet | rep 3/3 SKIP (первые два ответа семантически совпали)
[12/83] Q-BSL-044 | opus | rep 1/3 OK (21s)
[13/83] Q-BSL-044 | opus | rep 2/3 OK (18s)
Q-BSL-044 | opus | rep 3/3 SKIP (первые два ответа семантически совпали)
[14/83] Q-BSL-047 | haiku | rep 1/3 OK (32s)
[15/83] Q-BSL-047 | haiku | rep 2/3 OK (21s)
Q-BSL-047 | haiku | rep 3/3 SKIP (первые два ответа семантически совпали)
[16/83] Q-BSL-047 | sonnet | rep 1/3 OK (17s)
[17/83] Q-BSL-047 | sonnet | rep 2/3 OK (27s)
[18/83] Q-BSL-047 | sonnet | rep 3/3 OK (17s)
[19/83] Q-BSL-047 | opus | rep 1/3 OK (18s)
[20/83] Q-BSL-047 | opus | rep 2/3 OK (36s)
Q-BSL-047 | opus | rep 3/3 SKIP (первые два ответа семантически совпали)
[21/83] Q-BSL-051 | haiku | rep 1/3 OK (15s)
[22/83] Q-BSL-051 | haiku | rep 2/3 OK (43s)
[23/83] Q-BSL-051 | haiku | rep 3/3 OK (25s)
[24/83] Q-BSL-051 | sonnet | rep 1/3 OK (34s)
[25/83] Q-BSL-051 | sonnet | rep 2/3 OK (35s)
Q-BSL-051 | sonnet | rep 3/3 SKIP (первые два ответа семантически совпали)
[26/83] Q-BSL-051 | opus | rep 1/3 OK (24s)
[27/83] Q-BSL-051 | opus | rep 2/3 OK (31s)
Q-BSL-051 | opus | rep 3/3 SKIP (первые два ответа семантически совпали)
[28/83] Q-BSL-055 | haiku | rep 1/3 OK (15s)
[29/83] Q-BSL-055 | haiku | rep 2/3 OK (14s)
[30/83] Q-BSL-055 | haiku | rep 3/3 OK (18s)
[31/83] Q-BSL-055 | sonnet | rep 1/3 OK (33s)
[32/83] Q-BSL-055 | sonnet | rep 2/3 OK (35s)
[33/83] Q-BSL-055 | sonnet | rep 3/3 OK (18s)
[34/83] Q-BSL-055 | opus | rep 1/3 OK (25s)
[35/83] Q-BSL-055 | opus | rep 2/3 OK (19s)
[36/83] Q-BSL-055 | opus | rep 3/3 OK (24s)
[37/83] Q-BSL-061 | haiku | rep 1/3 OK (12s)
[38/83] Q-BSL-061 | haiku | rep 2/3 OK (18s)
Q-BSL-061 | haiku | rep 3/3 SKIP (первые два ответа семантически совпали)
[39/83] Q-BSL-061 | sonnet | rep 1/3 OK (21s)
[40/83] Q-BSL-061 | sonnet | rep 2/3 OK (26s)
Q-BSL-061 | sonnet | rep 3/3 SKIP (первые два ответа семантически совпали)
[41/83] Q-BSL-061 | opus | rep 1/3 OK (30s)
[42/83] Q-BSL-061 | opus | rep 2/3 OK (24s)
Q-BSL-061 | opus | rep 3/3 SKIP (первые два ответа семантически совпали)
[43/83] Q-BSL-065 | haiku | rep 1/3 OK (14s)
[44/83] Q-BSL-065 | haiku | rep 2/3 OK (18s)
Q-BSL-065 | haiku | rep 3/3 SKIP (первые два ответа семантически совпали)
[45/83] Q-BSL-065 | sonnet | rep 1/3 OK (54s)
[46/83] Q-BSL-065 | sonnet | rep 2/3 OK (61s)
[47/83] Q-BSL-065 | sonnet | rep 3/3 OK (21s)
[48/83] Q-BSL-065 | opus | rep 1/3 OK (33s)
[49/83] Q-BSL-065 | opus | rep 2/3 OK (27s)
Q-BSL-065 | opus | rep 3/3 SKIP (первые два ответа семантически совпали)
[50/83] Q-BSL-072 | haiku | rep 1/3 OK (14s)
[51/83] Q-BSL-072 | haiku | rep 2/3 OK (15s)
Q-BSL-072 | haiku | rep 3/3 SKIP (первые два ответа семантически совпали)
[52/83] Q-BSL-072 | sonnet | rep 1/3 OK (22s)
[53/83] Q-BSL-072 | sonnet | rep 2/3 OK (19s)
Q-BSL-072 | sonnet | rep 3/3 SKIP (первые два ответа семантически совпали)
[54/83] Q-BSL-072 | opus | rep 1/3 OK (26s)
[55/83] Q-BSL-072 | opus | rep 2/3 OK (26s)
Q-BSL-072 | opus | rep 3/3 SKIP (первые два ответа семантически совпали)
[56/83] Q-BSL-074 | haiku | rep 1/3 OK (9s)
[57/83] Q-BSL-074 | haiku | rep 2/3 OK (10s)
Q-BSL-074 | haiku | rep 3/3 SKIP (первые два ответа семантически совпали)
[58/83] Q-BSL-074 | sonnet | rep 1/3 OK (155s)
[59/83] Q-BSL-074 | sonnet | rep 2/3 OK (74s)
[60/83] Q-BSL-074 | sonnet | rep 3/3 OK (40s)
[61/83] Q-BSL-074 | opus | rep 1/3 OK (31s)
[62/83] Q-BSL-074 | opus | rep 2/3 OK (34s)
Q-BSL-074 | opus | rep 3/3 SKIP (первые два ответа семантически совпали)
[63/83] Q-BSL-077 | haiku | rep 1/3 OK (10s)
[64/83] Q-BSP-059 | sonnet | rep 3/3 OK (59s)

Готово. Выполнено: 64 | успешно: 64 | ошибок: 0 | сэкономлено повторов (адаптивно): 19
